Image,Tile Type,Blob,Tiles,Crowns,Score
67.jpg,Lake,1,15,6,90
67.jpg,Swamp,1,1,0,0
67.jpg,Field,1,3,1,3
67.jpg,Forest,1,6,1,6
9.jpg,Table,1,1,0,0
9.jpg,Table,2,1,0,0
9.jpg,Mine,1,1,2,2
9.jpg,Field,1,9,3,27
9.jpg,Field,2,1,0,0
9.jpg,Field,3,1,0,0
9.jpg,Grassland,1,1,0,0
9.jpg,Grassland,2,3,3,9
9.jpg,Lake,1,1,0,0
9.jpg,Lake,2,1,0,0
9.jpg,Forest,1,1,1,1
9.jpg,Swamp,1,3,2,6
9.jpg,Home,1,1,0,0
14.jpg,Field,1,1,1,1
14.jpg,Field,2,3,0,0
14.jpg,Mine,1,3,4,12
14.jpg,Table,1,2,0,0
14.jpg,Lake,1,7,2,14
14.jpg,Forest,1,1,1,1
14.jpg,Forest,2,4,1,4
14.jpg,Home,1,2,0,0
14.jpg,Swamp,1,2,2,4
13.jpg,Table,1,1,0,0
13.jpg,Table,2,1,0,0
13.jpg,Mine,1,1,2,2
13.jpg,Field,1,9,3,27
13.jpg,Field,2,1,0,0
13.jpg,Field,3,1,0,0
13.jpg,Grassland,1,1,0,0
13.jpg,Grassland,2,3,3,9
13.jpg,Lake,1,1,0,0
13.jpg,Lake,2,1,0,0
13.jpg,Forest,1,1,1,1
13.jpg,Swamp,1,3,2,6
13.jpg,Home,1,1,0,0
38.jpg,Swamp,1,5,4,20
38.jpg,Home,1,1,0,0
38.jpg,Grassland,1,4,1,4
38.jpg,Grassland,2,2,0,0
38.jpg,Field,1,8,1,8
38.jpg,Mine,1,1,2,2
38.jpg,Mine,2,1,1,1
38.jpg,Forest,1,1,1,1
38.jpg,Forest,2,1,0,0
38.jpg,Lake,1,1,0,0
35.jpg,Swamp,1,2,1,2
35.jpg,Swamp,2,1,0,0
35.jpg,Field,1,1,0,0
35.jpg,Field,2,5,1,5
35.jpg,Forest,1,5,1,5
35.jpg,Lake,1,6,1,6
35.jpg,Home,1,1,0,0
35.jpg,Mine,1,4,7,28
20.jpg,Lake,1,8,4,32
20.jpg,Forest,1,1,0,0
20.jpg,Forest,2,2,0,0
20.jpg,Swamp,1,2,1,2
20.jpg,Grassland,1,1,0,0
20.jpg,Grassland,2,2,2,4
20.jpg,Mine,1,3,3,9
20.jpg,Home,1,1,0,0
20.jpg,Field,1,5,1,5
26.jpg,Forest,1,10,2,20
26.jpg,Lake,1,9,3,27
26.jpg,Field,1,4,0,0
26.jpg,Mine,1,1,1,1
26.jpg,Home,1,1,0,0
18.jpg,Grassland,1,1,0,0
18.jpg,Forest,1,12,4,48
18.jpg,Field,1,6,2,12
18.jpg,Lake,1,1,0,0
18.jpg,Lake,2,2,0,0
18.jpg,Table,1,2,0,0
18.jpg,Home,1,1,0,0
19.jpg,Field,1,2,1,2
19.jpg,Field,2,2,0,0
19.jpg,Field,3,6,1,6
19.jpg,Grassland,1,5,1,5
19.jpg,Forest,1,1,0,0
19.jpg,Forest,2,2,1,2
19.jpg,Lake,1,1,0,0
19.jpg,Mine,1,3,7,21
19.jpg,Swamp,1,1,0,0
19.jpg,Swamp,2,1,0,0
19.jpg,Home,1,1,0,0
69.jpg,Field,1,5,2,10
69.jpg,Field,2,1,0,0
69.jpg,Field,3,1,0,0
69.jpg,Swamp,1,9,6,54
69.jpg,Swamp,2,1,0,0
69.jpg,Mine,1,6,10,60
69.jpg,Grassland,1,1,0,0
69.jpg,Grassland,2,1,0,0
40.jpg,Field,1,4,2,8
40.jpg,Field,2,1,0,0
40.jpg,Forest,1,8,4,32
40.jpg,Swamp,1,1,1,1
40.jpg,Home,1,1,0,0
40.jpg,Grassland,1,5,2,10
40.jpg,Grassland,2,1,0,0
40.jpg,Lake,1,2,0,0
40.jpg,Lake,2,1,0,0
40.jpg,Lake,3,1,0,0
6.jpg,Field,1,1,0,0
6.jpg,Field,2,1,0,0
6.jpg,Field,3,4,1,4
6.jpg,Field,4,2,0,0
6.jpg,Swamp,1,3,1,3
6.jpg,Swamp,2,1,0,0
6.jpg,Swamp,3,2,0,0
6.jpg,Mine,1,1,2,2
6.jpg,Mine,2,4,8,32
6.jpg,Home,1,2,0,0
6.jpg,Forest,1,1,0,0
6.jpg,Grassland,1,2,0,0
6.jpg,Grassland,2,1,0,0
50.jpg,Forest,1,7,2,14
50.jpg,Field,1,5,2,10
50.jpg,Grassland,1,3,0,0
50.jpg,Lake,1,6,1,6
50.jpg,Home,1,1,0,0
50.jpg,Mine,1,2,2,4
50.jpg,Swamp,1,1,0,0
1.jpg,Grassland,1,4,0,0
1.jpg,Grassland,2,5,4,20
1.jpg,Lake,1,1,0,0
1.jpg,Lake,2,3,1,3
1.jpg,Forest,1,7,1,7
1.jpg,Forest,2,1,0,0
1.jpg,Swamp,1,2,3,6
1.jpg,Home,1,1,1,1
1.jpg,Field,1,1,0,0
